draw_date,main_1,main_2,main_3,main_4,main_5,euro_1,euro_2
2019-02-01,6,29,38,45,47,2,3
2019-02-08,5,8,21,24,26,4,5
2019-02-15,1,24,30,31,47,7,9
2019-02-22,14,16,21,25,26,8,10
2019-03-01,7,16,18,19,24,1,6
2019-03-08,4,29,30,31,45,1,7
2019-03-15,1,2,11,19,47,2,7
2019-03-22,15,20,24,44,49,7,9
2019-03-29,4,9,15,24,42,8,9
2019-04-05,22,31,43,44,50,1,9
2019-04-12,14,16,21,30,37,4,8
2019-04-19,18,21,37,43,47,1,3
2019-04-26,1,6,11,17,38,4,8
2019-05-03,3,9,10,19,42,1,7
2019-05-10,5,7,15,19,29,3,8
2019-05-17,20,27,33,35,46,5,9
2019-05-24,8,26,38,47,50,3,7
2019-05-31,10,12,35,36,43,2,5
2019-06-07,7,8,20,35,38,5,9
2019-06-14,8,23,40,41,42,2,10
2019-06-21,20,27,37,41,45,1,7
2019-06-28,18,25,26,35,38,5,6
2019-07-05,1,15,34,48,50,6,10
2019-07-12,31,36,40,42,45,7,9
2019-07-19,31,32,45,47,49,7,9
2019-07-26,3,8,30,46,48,1,3
2019-08-02,6,11,38,41,44,9,10
2019-08-09,2,4,20,21,49,9,10
2019-08-16,7,20,35,42,44,3,7
2019-08-23,15,18,19,41,42,4,6
2019-08-30,10,18,32,35,46,3,10
2019-09-06,21,24,29,30,50,1,5
2019-09-13,3,21,22,33,47,2,9
2019-09-20,17,21,41,48,49,4,8
2019-09-27,21,24,26,34,47,4,6
2019-10-04,15,19,20,45,49,7,8
2019-10-11,8,12,13,39,44,4,9
2019-10-18,6,9,31,43,44,6,9
2019-10-25,2,30,34,35,45,1,2
2019-11-01,3,17,31,34,40,1,2
2019-11-08,14,20,23,39,49,4,10
2019-11-15,10,19,24,30,39,2,4
2019-11-22,3,12,24,37,38,3,7
2019-11-29,2,3,30,31,45,6,8
2019-12-06,8,14,23,30,45,1,9
2019-12-13,25,31,38,49,50,5,10
2019-12-20,12,20,21,22,35,4,10
2019-12-27,7,12,28,34,45,3,6
2020-01-03,6,27,30,35,41,4,5
2020-01-10,4,14,25,34,49,4,9
2020-01-17,1,23,32,45,49,5,10
2020-01-24,5,12,20,29,48,7,9
2020-01-31,1,7,12,23,39,3,4
2020-02-07,7,16,22,36,44,3,4
2020-02-14,2,6,30,32,49,1,4
2020-02-21,2,13,39,45,47,4,6
2020-02-28,12,22,24,29,38,5,6
2020-03-06,15,19,35,36,41,5,10
2020-03-13,1,17,29,39,42,7,8
2020-03-20,9,14,28,30,37,3,10
2020-03-27,13,19,23,34,41,3,8
2020-04-03,3,21,26,40,41,8,10
2020-04-10,2,7,8,43,50,2,3
2020-04-17,1,18,23,33,41,2,6
2020-04-24,6,13,15,34,35,1,5
2020-05-01,6,11,12,21,41,1,2
2020-05-08,9,11,15,36,43,8,9
2020-05-15,21,27,29,34,49,8,10
2020-05-22,12,15,32,40,45,7,10
2020-05-29,8,22,31,32,36,6,10
2020-06-05,9,16,17,29,39,1,8
2020-06-12,7,16,22,30,48,2,8
2020-06-19,2,22,33,38,47,2,9
2020-06-26,14,16,32,34,47,7,9
2020-07-03,12,34,36,47,48,5,7
2020-07-10,5,6,9,15,29,4,9
2020-07-17,13,21,25,34,35,5,10
2020-07-24,7,11,19,32,43,2,8
2020-07-31,3,19,28,43,49,2,3
2020-08-07,4,9,15,24,28,2,6
2020-08-14,9,20,27,35,48,5,9
2020-08-21,26,27,30,46,49,1,2
2020-08-28,8,11,22,38,41,4,7
2020-09-04,5,23,28,38,49,3,9
2020-09-11,2,5,24,43,45,4,10
2020-09-18,7,12,14,40,42,7,8
2020-09-25,1,7,9,29,46,9,10
2020-10-02,15,19,34,39,49,2,7
2020-10-09,1,11,17,23,29,1,8
2020-10-16,5,11,35,44,50,4,10
2020-10-23,17,21,23,37,45,7,9
2020-10-30,11,19,24,33,39,1,4
2020-11-06,5,12,26,47,50,2,3
2020-11-13,5,17,21,37,38,1,4
2020-11-20,18,20,34,49,50,7,8
2020-11-27,1,2,22,25,30,5,10
2020-12-04,1,27,37,40,41,7,10
2020-12-11,4,13,15,41,49,1,9
2020-12-18,4,17,27,28,50,5,8
2020-12-25,7,10,19,26,42,1,9
2021-01-01,17,36,38,43,46,4,6
2021-01-08,8,22,25,38,50,8,9
2021-01-15,10,19,32,36,46,4,6
2021-01-22,38,40,41,46,48,2,6
2021-01-29,16,30,33,36,43,4,8
2021-02-05,2,3,16,33,46,2,10
2021-02-12,15,18,24,27,44,2,7
2021-02-19,27,35,36,38,41,5,7
2021-02-26,3,13,24,29,32,1,7
2021-03-05,9,23,34,40,42,1,4
2021-03-12,6,11,18,26,34,5,8
2021-03-19,3,11,19,34,37,8,9
2021-03-26,7,38,41,44,50,1,8
2021-04-02,1,3,4,36,43,2,3
2021-04-09,11,18,23,29,32,3,7
2021-04-16,12,19,20,28,31,6,9
2021-04-23,3,6,11,14,49,1,5
2021-04-30,23,27,34,40,43,5,7
2021-05-07,3,7,19,27,29,7,10
2021-05-14,1,15,29,42,50,3,6
2021-05-21,2,12,15,33,39,4,9
2021-05-28,15,26,35,37,43,3,8
2021-06-04,13,17,26,49,50,1,7
2021-06-11,8,20,23,48,50,8,9
2021-06-18,11,14,44,46,49,7,10
2021-06-25,4,17,22,30,47,1,8
2021-07-02,4,5,10,25,31,4,6
2021-07-09,8,14,15,20,31,8,9
2021-07-16,9,14,24,37,39,4,9
2021-07-23,13,33,42,48,50,3,9
2021-07-30,5,14,39,43,44,1,6
2021-08-06,16,19,21,29,36,1,7
2021-08-13,4,31,39,43,46,1,4
2021-08-20,8,31,34,36,45,8,10
2021-08-27,19,20,22,25,42,4,6
2021-09-03,5,9,20,44,48,4,10
2021-09-10,2,14,18,23,42,5,10
2021-09-17,14,17,20,27,32,3,7
2021-09-24,12,22,35,38,49,5,10
2021-10-01,20,33,34,37,39,4,8
2021-10-08,20,28,32,38,46,6,8
2021-10-15,2,6,8,21,25,6,9
2021-10-22,15,33,34,38,43,3,7
2021-10-29,11,23,37,38,44,4,8
2021-11-05,6,13,25,31,49,2,7
2021-11-12,4,30,43,44,46,1,3
2021-11-19,6,12,20,21,34,4,5
2021-11-26,7,17,21,37,39,3,5
2021-12-03,2,5,13,15,23,6,8
2021-12-10,8,9,30,34,48,5,8
2021-12-17,6,8,16,44,50,1,10
2021-12-24,3,17,21,35,42,8,9
2021-12-31,7,16,36,42,43,6,8
2022-01-07,8,17,21,23,47,2,6
2022-01-14,9,15,27,41,44,2,4
2022-01-21,2,5,9,29,32,2,4
2022-01-28,5,21,23,29,35,7,9
2022-02-04,12,18,27,33,41,9,10
2022-02-11,5,10,26,37,42,3,10
2022-02-18,5,10,25,29,32,4,7
2022-02-25,4,19,34,41,43,1,5
2022-03-04,1,17,20,36,49,6,9
2022-03-11,5,31,39,46,49,8,9
2022-03-18,1,8,33,38,43,2,6
2022-03-25,11,20,31,35,46,6,10
2022-03-29,10,15,18,24,39,2,11
2022-04-01,7,8,35,37,49,5,8
2022-04-05,9,10,28,38,48,8,12
2022-04-08,2,26,41,45,48,5,12
2022-04-12,19,20,24,36,41,4,5
2022-04-15,2,5,10,20,24,4,7
2022-04-19,3,7,15,17,35,3,4
2022-04-22,2,18,28,42,50,2,11
2022-04-26,10,27,32,41,49,1,9
2022-04-29,5,6,17,18,34,1,11
2022-05-03,6,13,22,24,30,5,10
2022-05-06,5,6,39,49,50,10,12
2022-05-10,3,7,34,43,50,5,10
2022-05-13,7,13,30,43,47,7,11
2022-05-17,2,13,41,45,50,2,3
2022-05-20,4,22,28,32,47,1,2
2022-05-24,25,26,40,45,47,4,5
2022-05-27,8,26,29,41,48,3,5
2022-05-31,14,30,37,39,50,4,12
2022-06-03,4,22,27,39,41,1,9
2022-06-07,5,7,45,48,49,3,8
2022-06-10,3,21,23,28,46,10,12
2022-06-14,11,28,30,35,50,7,8
2022-06-17,1,2,23,43,45,1,9
2022-06-21,6,10,17,29,49,2,5
2022-06-24,13,24,30,35,48,4,5
2022-06-28,2,10,23,29,50,3,10
2022-07-01,4,10,24,34,35,7,8
2022-07-05,7,16,28,36,43,2,11
2022-07-08,6,10,22,30,36,8,10
2022-07-12,3,16,26,30,47,1,2
2022-07-15,9,11,16,19,32,3,5
2022-07-19,20,23,24,37,43,9,10
2022-07-22,1,11,17,19,33,3,7
2022-07-26,1,2,7,24,25,2,5
2022-07-29,14,26,29,46,50,10,11
2022-08-02,6,11,39,40,47,7,8
2022-08-05,10,12,17,31,49,2,8
2022-08-09,23,26,36,40,44,5,10
2022-08-12,14,32,34,38,46,2,5
2022-08-16,4,17,32,34,49,4,9
2022-08-19,4,13,32,39,41,6,8
2022-08-23,2,9,18,21,39,4,10
2022-08-26,2,6,18,29,37,10,12
2022-08-30,18,27,41,45,49,7,9
2022-09-02,2,5,11,22,24,7,12
2022-09-06,6,10,11,20,38,3,9
2022-09-09,9,18,26,41,43,4,9
2022-09-13,20,22,26,34,40,8,12
2022-09-16,16,25,27,41,45,3,9
2022-09-20,2,13,22,36,40,3,5
2022-09-23,20,30,38,39,44,2,12
2022-09-27,15,23,26,31,44,1,8
2022-09-30,8,12,15,17,46,1,8
2022-10-04,17,42,43,48,49,3,7
2022-10-07,16,17,26,30,35,3,9
2022-10-11,7,35,36,39,47,3,8
2022-10-14,3,5,8,10,44,7,12
2022-10-18,13,18,24,34,50,5,6
2022-10-21,2,11,18,47,49,2,7
2022-10-25,17,26,35,37,39,3,4
2022-10-28,4,5,21,30,43,5,11
2022-11-01,18,32,39,42,44,4,7
2022-11-04,7,9,40,48,49,7,8
2022-11-08,15,17,23,35,38,4,9
2022-11-11,11,15,24,28,41,3,12
2022-11-15,1,7,11,33,48,9,12
2022-11-18,13,14,25,28,42,11,12
2022-11-22,11,20,23,37,46,9,11
2022-11-25,4,6,8,42,48,6,11
2022-11-29,9,16,32,37,46,7,12
2022-12-02,6,12,25,48,49,11,12
2022-12-06,8,12,37,44,47,7,10
2022-12-09,6,8,13,21,32,3,6
2022-12-13,3,13,33,36,47,3,11
2022-12-16,9,14,15,20,47,8,12
2022-12-20,6,11,26,43,49,5,8
2022-12-23,9,34,35,42,44,6,11
2022-12-27,28,33,34,37,44,4,11
2022-12-30,3,37,45,47,50,5,10
2023-01-03,28,29,31,37,50,4,5
2023-01-06,14,28,31,47,50,7,12
2023-01-10,9,16,27,41,45,1,4
2023-01-13,7,14,34,41,49,4,9
2023-01-17,6,11,16,35,44,2,6
2023-01-20,1,12,15,31,47,9,10
2023-01-24,9,16,17,27,31,1,9
2023-01-27,4,9,29,34,37,3,12
2023-01-31,20,21,30,41,43,10,11
2023-02-03,1,7,17,44,50,2,10
2023-02-07,10,15,25,37,46,7,12
2023-02-10,3,10,20,36,42,8,10
2023-02-14,1,2,6,14,45,2,7
2023-02-17,5,12,15,21,39,3,4
2023-02-21,13,20,34,38,43,3,6
2023-02-24,1,5,12,18,20,6,7
2023-02-28,6,20,27,38,49,3,9
2023-03-03,1,18,37,46,48,3,7
2023-03-07,4,11,12,16,42,3,5
2023-03-10,6,17,22,39,46,5,12
2023-03-14,9,16,32,34,48,2,6
2023-03-17,5,18,21,29,45,1,6
2023-03-21,8,13,16,44,47,6,8
2023-03-24,6,21,23,26,43,3,9
2023-03-28,6,12,36,37,44,1,11
2023-03-31,10,11,31,37,44,5,12
2023-04-04,1,15,19,24,33,7,8
2023-04-07,16,28,32,36,48,5,10
2023-04-11,5,19,33,37,42,7,9
2023-04-14,7,11,20,21,29,6,11
2023-04-18,16,28,31,35,42,2,10
2023-04-21,5,13,16,41,45,3,6
2023-04-25,12,21,24,28,40,1,3
2023-04-28,4,8,9,30,35,6,7
2023-05-02,11,12,13,23,26,11,12
2023-05-05,17,18,30,33,35,6,8
2023-05-09,6,11,29,34,39,2,3
2023-05-12,10,27,30,32,34,5,8
2023-05-16,28,30,31,45,46,4,8
2023-05-19,1,5,8,20,35,3,12
2023-05-23,1,2,11,14,36,2,3
2023-05-26,1,3,29,45,47,5,8
2023-05-30,2,8,16,21,39,4,5
2023-06-02,8,9,11,13,50,6,11
2023-06-06,5,7,21,22,29,3,10
2023-06-09,8,13,24,35,46,6,8
2023-06-13,11,29,32,46,47,5,7
2023-06-16,5,19,33,36,42,7,12
2023-06-20,9,18,30,34,48,1,7
2023-06-23,2,3,18,23,39,6,8
2023-06-27,7,10,13,34,47,5,9
2023-06-30,3,14,23,41,43,2,6
2023-07-04,19,21,23,36,39,5,12
2023-07-07,9,18,20,40,41,3,9
2023-07-11,11,15,17,24,46,2,11
2023-07-14,2,4,12,31,50,6,8
2023-07-18,14,16,24,40,43,1,5
2023-07-21,7,16,22,38,41,5,9
2023-07-25,3,9,11,20,39,2,3
2023-07-28,10,16,34,36,49,3,7
2023-08-01,2,9,38,40,44,5,11
2023-08-04,3,17,19,32,38,6,7
2023-08-08,6,12,25,31,37,6,9
2023-08-11,1,35,36,38,39,3,10
2023-08-15,12,21,23,26,41,5,6
2023-08-18,2,16,22,28,46,4,8
2023-08-22,8,40,41,46,47,3,11
2023-08-25,2,5,11,27,38,10,12
2023-08-29,14,18,20,39,42,6,9
2023-09-01,1,13,16,23,27,10,11
2023-09-05,9,11,13,15,25,4,9
2023-09-08,21,29,31,46,49,5,6
2023-09-12,5,13,43,45,50,1,10
2023-09-15,3,8,10,31,36,2,3
2023-09-19,8,18,26,38,39,4,12
2023-09-22,14,24,31,44,45,7,11
2023-09-26,23,24,38,42,44,1,10
2023-09-29,14,24,29,45,48,3,9
2023-10-03,13,28,29,31,47,8,9
2023-10-06,17,18,40,43,50,9,11
2023-10-10,7,8,12,21,43,4,11
2023-10-13,16,23,30,37,41,2,9
2023-10-17,6,8,42,49,50,3,5
2023-10-20,11,16,22,34,46,2,5
2023-10-24,5,14,35,40,47,1,3
2023-10-27,6,13,15,20,40,2,8
2023-10-31,6,15,21,34,48,1,5
2023-11-03,6,21,23,31,39,1,5
2023-11-07,26,36,43,47,49,4,7
2023-11-10,1,17,22,29,31,5,6
2023-11-14,9,30,34,38,48,2,3
2023-11-17,4,14,15,20,28,7,9
2023-11-21,9,20,21,22,38,3,12
2023-11-24,16,27,33,34,39,2,7
2023-11-28,11,12,13,23,36,3,8
2023-12-01,23,32,38,45,49,1,9
2023-12-05,6,11,16,26,49,2,9
2023-12-08,2,8,28,32,37,3,6
2023-12-12,2,8,20,34,40,9,12
2023-12-15,7,15,17,18,39,1,10
2023-12-19,4,6,17,31,45,6,12
2023-12-22,4,6,12,31,38,2,12
2023-12-26,4,13,16,22,27,1,10
2023-12-29,2,21,34,40,48,2,6
2024-01-02,19,26,36,48,49,10,11
2024-01-05,11,30,32,45,47,3,10
2024-01-09,9,12,26,41,47,7,10
2024-01-12,3,31,34,43,45,6,9
2024-01-16,6,19,32,39,42,4,9
2024-01-19,10,12,18,33,47,7,10
2024-01-23,9,18,20,32,39,5,8
2024-01-26,18,23,35,37,41,6,7
2024-01-30,10,12,15,46,48,9,11
2024-02-02,13,17,21,30,39,8,11
2024-02-06,16,19,20,26,44,1,4
2024-02-09,4,10,11,20,22,7,10
2024-02-13,7,20,22,45,48,10,12
2024-02-16,7,11,17,18,34,3,5
2024-02-20,1,3,11,15,30,4,10
2024-02-23,10,19,22,37,41,2,6
2024-02-27,15,17,30,38,49,1,11
2024-03-01,13,26,30,34,41,3,7
2024-03-05,2,20,30,31,40,8,12
2024-03-08,2,11,17,23,49,4,12
2024-03-12,2,8,11,16,20,4,10
2024-03-15,16,20,25,30,49,3,10
2024-03-19,1,20,28,32,49,3,10
2024-03-22,5,17,36,37,50,3,7
2024-03-26,12,15,17,30,32,1,6
2024-03-29,7,11,30,31,39,5,10
2024-04-02,14,17,29,32,45,1,2
2024-04-05,5,8,16,30,37,1,10
2024-04-09,1,7,21,27,43,1,3
2024-04-12,1,34,39,47,49,1,12
2024-04-16,35,36,37,41,48,1,12
2024-04-19,8,14,21,34,36,1,2
2024-04-23,2,3,6,15,35,1,3
2024-04-26,3,18,23,29,47,5,12
2024-04-30,4,20,33,37,45,8,9
2024-05-03,9,17,36,40,45,5,7
2024-05-07,3,11,32,33,35,3,11
2024-05-10,28,31,39,45,49,8,11
2024-05-14,19,22,23,24,27,1,6
2024-05-17,1,2,29,36,48,1,11
2024-05-21,7,23,31,33,38,10,11
2024-05-24,2,3,4,21,45,6,12
2024-05-28,13,26,27,35,46,3,4
2024-05-31,4,23,34,39,45,6,7
2024-06-04,1,3,24,43,49,2,4
2024-06-07,8,15,29,37,45,5,10
2024-06-11,4,12,16,29,31,1,9
2024-06-14,10,21,27,42,46,2,6
2024-06-18,4,10,23,24,45,7,8
2024-06-21,2,22,24,30,40,5,6
2024-06-25,8,14,25,31,45,3,12
2024-06-28,1,8,30,43,45,10,12
2024-07-02,10,29,30,32,40,6,12
2024-07-05,4,11,16,25,32,1,11
2024-07-09,5,14,25,26,44,8,10
2024-07-12,2,14,30,32,34,3,4
2024-07-16,8,22,27,36,43,5,8
2024-07-19,13,18,22,26,32,10,11
2024-07-23,9,13,21,24,38,6,12
2024-07-26,7,11,22,26,46,5,11
2024-07-30,2,16,30,31,49,2,5
2024-08-02,14,20,26,30,31,1,2
2024-08-06,4,9,22,32,35,9,10
2024-08-09,15,18,25,29,35,1,5
2024-08-13,6,9,33,34,50,1,7
2024-08-16,4,11,16,46,50,1,3
2024-08-20,25,28,29,31,33,6,12
2024-08-23,13,21,22,26,48,2,7
2024-08-27,15,24,29,33,39,2,9
2024-08-30,8,11,25,31,48,11,12
2024-09-03,5,17,23,36,37,5,9
2024-09-06,7,11,27,42,45,3,10
2024-09-10,7,10,31,41,46,1,5
2024-09-13,2,3,17,40,44,4,8
2024-09-17,1,3,13,24,44,11,12
2024-09-20,9,17,19,26,39,4,10
2024-09-24,3,13,34,41,43,1,5
2024-09-27,6,15,25,29,41,1,3
2024-10-01,17,37,42,45,50,6,7
2024-10-04,4,16,27,34,44,4,7
2024-10-08,13,29,42,44,48,2,8
2024-10-11,8,11,23,44,45,10,12
2024-10-15,9,20,38,44,45,4,12
2024-10-18,2,4,23,30,40,4,10
2024-10-22,4,32,36,38,47,3,9
2024-10-25,2,19,36,42,50,4,9
2024-10-29,3,17,26,30,49,1,10
2024-11-01,13,21,27,28,41,1,3
2024-11-05,22,29,36,38,43,1,6
2024-11-08,6,23,38,42,45,9,12
2024-11-12,2,3,34,38,49,10,11
2024-11-15,27,31,35,46,50,3,10
2024-11-19,4,7,19,26,27,4,5
2024-11-22,6,10,30,34,41,7,10
2024-11-26,20,21,28,32,37,1,5
2024-11-29,10,19,24,25,40,5,9
2024-12-03,7,20,23,24,37,4,10
2024-12-06,8,14,45,47,50,2,12
2024-12-10,17,23,30,41,43,4,11
2024-12-13,1,4,19,35,42,1,3
2024-12-17,11,14,18,35,42,4,11
2024-12-20,1,3,10,32,44,1,8
2024-12-24,9,15,28,36,39,6,7
2024-12-27,1,9,25,27,37,6,8
2024-12-31,2,21,26,34,49,7,12
2025-01-03,1,20,21,27,29,8,10
2025-01-07,1,16,20,23,44,5,9
2025-01-10,17,34,38,42,48,2,11
2025-01-14,10,11,17,20,30,2,6
2025-01-17,7,9,14,18,31,7,8
2025-01-21,3,17,22,28,40,4,9
2025-01-24,2,9,16,46,47,3,9
2025-01-28,2,7,28,43,46,5,12
2025-01-31,1,23,32,42,47,4,11
2025-02-04,10,18,21,41,42,3,9
2025-02-07,15,17,27,33,45,5,9
2025-02-11,3,12,22,28,47,1,12
2025-02-14,12,14,18,45,50,2,10
2025-02-18,1,9,14,19,44,2,3
2025-02-21,18,26,29,35,36,11,12
2025-02-25,28,31,38,42,48,3,10
2025-02-28,3,4,13,20,21,8,12
2025-03-04,4,12,35,37,48,4,10
2025-03-07,7,11,12,32,42,1,4
2025-03-11,15,18,22,23,44,1,11
2025-03-14,6,13,28,37,45,5,10
2025-03-18,1,7,14,47,50,3,7
2025-03-21,8,9,12,14,16,6,12
2025-03-25,3,11,30,35,50,4,5
2025-03-28,2,15,19,34,49,2,6
2025-04-01,12,17,39,41,50,9,12
2025-04-04,19,23,29,37,38,2,8
2025-04-08,17,39,40,41,47,5,8
2025-04-11,2,26,27,28,49,1,10
2025-04-15,8,11,13,33,35,1,10
2025-04-18,7,8,12,29,44,3,12
2025-04-22,10,16,23,29,38,3,5
2025-04-25,13,14,40,43,45,5,8
2025-04-29,17,21,27,30,34,8,11
2025-05-02,3,15,22,33,35,1,7
2025-05-06,1,21,22,46,49,9,10
2025-05-09,1,5,27,36,43,5,9
2025-05-13,14,16,19,33,34,5,12
2025-05-16,6,8,15,27,39,6,12
2025-05-20,8,19,20,21,28,7,10
2025-05-23,11,17,19,33,40,7,12
2025-05-27,6,9,17,25,41,4,10
2025-05-30,4,5,26,29,43,5,9
2025-06-03,6,8,19,26,30,1,12
2025-06-06,7,8,11,23,39,5,11
2025-06-10,1,17,20,28,42,2,12
2025-06-13,1,15,18,27,46,5,9
2025-06-17,10,13,15,33,35,7,12
2025-06-20,6,12,18,37,46,7,9
2025-06-24,20,31,35,40,44,3,4
2025-06-27,4,14,26,29,50,3,12
2025-07-01,1,9,10,12,14,6,8
2025-07-04,14,23,34,41,44,5,10
2025-07-08,21,27,29,34,43,6,10
2025-07-11,6,12,13,43,46,6,11
2025-07-15,13,28,33,37,45,6,11
2025-07-18,10,12,21,25,39,2,4
2025-07-22,5,20,42,46,48,7,8
2025-07-25,7,8,13,29,36,4,8
2025-07-29,20,21,38,43,49,6,11
2025-08-01,4,11,12,20,33,3,5
2025-08-05,1,18,21,22,34,1,6
2025-08-08,7,16,23,41,42,1,4
2025-08-12,11,16,29,37,42,1,11
2025-08-15,5,11,20,33,43,6,12
2025-08-19,3,4,11,33,47,6,9
2025-08-22,3,14,16,22,34,7,10
2025-08-26,8,14,21,26,35,4,8
2025-08-29,3,5,19,23,48,1,5
2025-09-02,1,5,12,38,47,7,8
2025-09-05,6,14,25,29,46,7,11
2025-09-09,14,18,24,27,50,8,9
2025-09-12,7,22,24,33,45,4,12
2025-09-16,8,9,14,37,39,1,9
2025-09-19,9,37,40,41,46,1,12
2025-09-23,7,18,31,32,33,10,11
2025-09-26,12,24,26,35,48,1,2
2025-09-30,8,11,13,24,27,3,7
2025-10-03,1,2,7,21,27,8,12
2025-10-07,10,22,38,42,48,2,9
2025-10-10,4,5,24,31,41,3,12
2025-10-14,8,12,13,49,50,2,4
2025-10-17,18,21,34,35,46,2,3
2025-10-21,6,21,30,40,46,3,4
2025-10-24,12,13,27,42,43,3,4
2025-10-28,3,4,22,45,50,9,12
2025-10-31,5,11,40,41,47,1,5
2025-11-04,3,21,22,33,39,1,9
2025-11-07,13,19,22,35,40,2,8
2025-11-11,8,24,25,41,50,8,9
2025-11-14,3,5,20,30,37,6,12
2025-11-18,19,25,27,41,49,3,9
2025-11-21,15,24,30,45,50,5,6
2025-11-25,1,23,30,35,46,4,8
2025-11-28,12,16,35,46,50,3,5
2025-12-02,14,30,34,35,40,4,6
2025-12-05,1,4,18,22,24,6,10
2025-12-09,2,30,32,33,37,2,9
2025-12-12,2,25,27,37,50,2,11
2025-12-16,12,22,28,30,31,4,11
2025-12-19,8,9,15,35,45,2,5
2025-12-23,24,29,35,40,41,6,7
2025-12-26,15,21,26,29,42,4,12
2025-12-30,10,18,20,23,27,1,6
2026-01-02,10,15,29,34,38,2,9
2026-01-06,21,23,30,33,38,8,12
2026-01-09,1,17,19,25,41,6,12
2026-01-13,2,16,27,33,47,6,12
2026-01-16,8,16,37,39,48,5,11
2026-01-20,16,26,32,37,45,2,3
2026-01-23,18,36,39,45,50,6,9
2026-01-27,13,18,19,29,32,8,9
2026-01-30,8,13,15,17,37,3,7
2026-02-03,3,20,27,37,44,1,2
2026-02-06,8,14,38,41,48,1,11
2026-02-10,12,19,34,39,47,4,5
2026-02-13,1,21,44,45,46,2,7
2026-02-17,8,23,39,40,44,6,7
2026-02-20,11,17,23,36,40,5,6
2026-02-24,4,5,26,38,48,2,9
2026-02-27,7,17,19,28,47,2,7
2026-03-03,1,9,14,35,49,2,10
2026-03-06,8,17,26,31,47,1,6
2026-03-10,2,3,17,18,28,4,10
2026-03-13,7,23,37,44,47,2,6
2026-03-17,12,13,16,17,37,4,11
2026-03-20,2,17,21,25,30,2,6
2026-03-24,9,15,23,43,48,3,5
2026-03-27,21,23,25,38,40,7,11
2026-03-31,5,15,18,20,35,7,8
2026-04-03,9,10,18,22,37,1,11
2026-04-07,2,4,16,23,27,5,8
2026-04-10,1,6,11,18,48,10,12
2026-04-14,13,22,32,46,47,6,7
2026-04-17,16,31,35,43,44,2,9
2026-04-21,31,32,36,39,47,7,8
2026-04-24,6,21,29,39,44,1,5
2026-04-28,19,20,41,43,46,5,7
2026-05-01,10,11,13,16,27,5,7
2026-05-05,1,30,33,34,43,5,10
2026-05-08,3,17,18,31,41,6,12
2026-05-12,7,15,19,28,35,3,11
2026-05-15,1,32,33,36,37,7,12
2026-05-19,10,36,37,39,47,5,6
2026-05-22,5,34,35,42,46,3,5
2026-05-26,5,11,23,33,42,10,12
2026-05-29,3,20,21,42,49,5,6
2026-06-02,2,36,38,40,46,7,8
2026-06-05,21,23,44,47,50,1,7
2026-06-09,1,14,22,39,48,8,11
2026-06-12,2,4,14,18,28,9,11
2026-06-16,9,26,29,37,42,1,7
2026-06-19,16,27,37,42,45,5,12
